Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=50,R=2,D=3) vs MiniMax(D=2)",O,0.3,21,23,6,12.521694898605348,50,2,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=3) vs MiniMax(D=3)",X,0.02,20,11,19,55.4672618707021,50,2,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=3) vs MiniMax(D=3)",O,-0.02,19,11,20,65.696755250295,50,2,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,91.9873476028442,50,3,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.304446538289388,50,3,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=1) vs MiniMax(D=2)",X,-0.26,0,37,13,81.2274980545044,50,3,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=1) vs MiniMax(D=2)",O,0.26,13,37,0,12.414908409118652,50,3,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=1) vs MiniMax(D=3)",X,-0.66,4,9,37,89.3208781083425,50,3,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=1) vs MiniMax(D=3)",O,0.66,37,9,4,66.27691745758058,50,3,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,90.28006172180176,50,3,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.080347776412964,50,3,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=2) vs MiniMax(D=2)",X,-0.14,1,41,8,83.21728491783142,50,3,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=2) vs MiniMax(D=2)",O,0.14,8,41,1,13.20519208908081,50,3,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=2) vs MiniMax(D=3)",X,-0.6,5,10,35,87.10215012232463,50,3,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=2) vs MiniMax(D=3)",O,0.6,35,10,5,68.7852390607198,50,3,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,84.76356315612792,50,3,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.0995134512583418,50,3,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=3,D=3) vs MiniMax(D=2)",X,0.04,10,32,8,72.7433356444041,50,3,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
