Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=50,R=3,D=2) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,350.314663251241,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=70,R=3,D=3)",Black,0.0,0,10,0,254.8356119791667,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=70,R=3,D=3)",White,0.0,0,10,0,425.18846511840826,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=3) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,352.2808885574341,50,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=3) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,350.7613436381022,50,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=3) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,344.5975430806478,50,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=3) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,283.8323291142781,50,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=3) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,379.2850017547608,50,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=3) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,414.82284704844153,50,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=3) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,396.32997353871656,50,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=3) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,428.1013059616089,50,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=3) vs MCTS(S=70,R=3,D=3)",Black,0.0,0,10,0,358.99081071217853,50,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=3) vs MCTS(S=70,R=3,D=3)",White,0.0,0,10,0,516.9547319412231,50,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=2) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,268.0190817515055,70,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
