Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=30,R=3,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.0918701489766436
"MCTS(S=30,R=3,D=3) vs MiniMax(D=2)",X,-0.04,7,34,9,45.106951157252
"MCTS(S=30,R=3,D=3) vs MiniMax(D=2)",O,0.04,9,34,7,13.58144760131836
"MCTS(S=30,R=3,D=3) vs MiniMax(D=3)",X,0.12,21,14,15,45.9853310585022
"MCTS(S=30,R=3,D=3) vs MiniMax(D=3)",O,-0.12,15,14,21,68.63320469856261
"MCTS(S=50,R=1,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,40.148023764292404
"MCTS(S=50,R=1,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.204638957977295
"MCTS(S=50,R=1,D=1) vs MiniMax(D=2)",X,-0.44,0,28,22,37.31442523002624
"MCTS(S=50,R=1,D=1) vs MiniMax(D=2)",O,0.44,22,28,0,12.708127498626709
"MCTS(S=50,R=1,D=1) vs MiniMax(D=3)",X,-0.52,9,6,35,39.806365728378296
"MCTS(S=50,R=1,D=1) vs MiniMax(D=3)",O,0.52,35,6,9,67.33677387237549
"MCTS(S=50,R=1,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,39.593473275502525
"MCTS(S=50,R=1,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,4.206910530726115
"MCTS(S=50,R=1,D=2) vs MiniMax(D=2)",X,-0.2,2,36,12,35.68213939666748
"MCTS(S=50,R=1,D=2) vs MiniMax(D=2)",O,0.2,12,36,2,13.303539355595907
"MCTS(S=50,R=1,D=2) vs MiniMax(D=3)",X,-0.5,8,9,33,37.99079497655233
"MCTS(S=50,R=1,D=2) vs MiniMax(D=3)",O,0.5,33,9,8,69.55807844797769
"MCTS(S=50,R=1,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,39.090292851130165
"MCTS(S=50,R=1,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.4248622258504238
"MCTS(S=50,R=1,D=3) vs MiniMax(D=2)",X,-0.02,12,25,13,33.41683252652486
"MCTS(S=50,R=1,D=3) vs MiniMax(D=2)",O,0.02,13,25,12,13.736326694488522
"MCTS(S=50,R=1,D=3) vs MiniMax(D=3)",X,-0.08,16,14,20,33.46860281626384
"MCTS(S=50,R=1,D=3) vs MiniMax(D=3)",O,0.08,20,14,16,66.89497470855713
"MCTS(S=50,R=2,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,68.57723991076153
"MCTS(S=50,R=2,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.312586943308512
"MCTS(S=50,R=2,D=1) vs MiniMax(D=2)",X,-0.3,0,35,15,59.76801490783691
"MCTS(S=50,R=2,D=1) vs MiniMax(D=2)",O,0.3,15,35,0,12.725799083709717
"MCTS(S=50,R=2,D=1) vs MiniMax(D=3)",X,-0.74,4,5,41,66.51132980982463
"MCTS(S=50,R=2,D=1) vs MiniMax(D=3)",O,0.74,41,5,4,68.53525479634602
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,66.40374978383382
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.242774804433187
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",X,-0.16,1,40,9,55.016549587249756
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",O,0.16,9,40,1,13.050352732340492
"MCTS(S=50,R=2,D=2) vs MiniMax(D=3)",X,-0.44,8,12,30,59.93696586290995
"MCTS(S=50,R=2,D=2) vs MiniMax(D=3)",O,0.44,30,12,8,64.49126203854878
"MCTS(S=50,R=2,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,62.507312695185334
"MCTS(S=50,R=2,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.3057522773742676
"MCTS(S=50,R=2,D=3) vs MiniMax(D=2)",X,-0.3,6,23,21,53.86942386627197
"MCTS(S=50,R=2,D=3) vs MiniMax(D=2)",O,0.3,21,23,6,12.521694898605347
"MCTS(S=50,R=2,D=3) vs MiniMax(D=3)",X,0.02,20,11,19,55.4672618707021
"MCTS(S=50,R=2,D=3) vs MiniMax(D=3)",O,-0.02,19,11,20,65.696755250295
"MCTS(S=50,R=3,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,91.98734760284421
"MCTS(S=50,R=3,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.3044465382893877
"MCTS(S=50,R=3,D=1) vs MiniMax(D=2)",X,-0.26,0,37,13,81.2274980545044
"MCTS(S=50,R=3,D=1) vs MiniMax(D=2)",O,0.26,13,37,0,12.414908409118652
"MCTS(S=50,R=3,D=1) vs MiniMax(D=3)",X,-0.66,4,9,37,89.3208781083425
"MCTS(S=50,R=3,D=1) vs MiniMax(D=3)",O,0.66,37,9,4,66.27691745758058
"MCTS(S=50,R=3,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,90.28006172180176
"MCTS(S=50,R=3,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.080347776412964
"MCTS(S=50,R=3,D=2) vs MiniMax(D=2)",X,-0.14,1,41,8,83.21728491783142
"MCTS(S=50,R=3,D=2) vs MiniMax(D=2)",O,0.14,8,41,1,13.20519208908081
"MCTS(S=50,R=3,D=2) vs MiniMax(D=3)",X,-0.6,5,10,35,87.10215012232463
"MCTS(S=50,R=3,D=2) vs MiniMax(D=3)",O,0.6,35,10,5,68.7852390607198
"MCTS(S=50,R=3,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,84.76356315612792
"MCTS(S=50,R=3,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.0995134512583418
"MCTS(S=50,R=3,D=3) vs MiniMax(D=2)",X,0.04,10,32,8,72.7433356444041
"MCTS(S=50,R=3,D=3) vs MiniMax(D=2)",O,-0.04,8,32,10,13.269903659820557
"MCTS(S=50,R=3,D=3) vs MiniMax(D=3)",X,-0.02,19,11,20,74.80158789952596
"MCTS(S=50,R=3,D=3) vs MiniMax(D=3)",O,0.02,20,11,19,66.29892230033875
"MiniMax(D=1) vs MCTS(S=10,R=1,D=1)",X,-0.9,2,1,47,2.976085662841797
"MiniMax(D=1) vs MCTS(S=10,R=1,D=1)",O,0.9,47,1,2,8.19957971572876
"MiniMax(D=1) vs MCTS(S=10,R=1,D=2)",X,-0.92,2,0,48,2.8686258792877197
